ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
11,"[[""the"", ""nsubj""], [""the"", ""nsubj""], [""they"", ""nsubj""], [""conversation"", ""obl""], [""they"", ""nsubj""], [""him"", ""obl""], [""he"", ""nsubj""], [""someon"", ""obj""], [""statement"", ""obl""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.biologie.uni-hamburg.de"", ""nsubj""], [""podcast"", ""obl""]]
","""This is a question that, of course, depends on the fact that you get into the conversation, that you also talk to him about why he apparently felt one or the other as stated in his statement,"" said Grindel in the football podcast ""Phrasic mower"" of the ""Image newspaper.
","""This is a question that, of course, depends on the fact that you get into the conversation, that you also talk to him about why he apparently felt one or the other as stated in his statement,"" said Grindel in the football podcast ""Phrasic mower"" of the ""Image newspaper.
","""This is a question that of course depends on the fact that one day one comes into the conversation, that one also talks to him about why he obviously felt one or the other in the way that is stated in his statement,"" Grindel said in the football podcast ""Phrasenmäher"" of the ""Bild-Zeitung.
","There is an open question so you get into a conversation, you talk to him about why you have apparently felt that way, how is stated in his statement, said Grindel in football Podcast ""Phrasenmäher"" of the newspaper ""Bild-Zeitung"".
",1.0,0.6689936080056726,-0.33100639199432735
12,"[[""debate"", ""obl""], [""to"", ""root""], [""Regret"", ""root""], [""sth"", ""root""], [""he"", ""nsubj""], [""resignation"", ""obj""]]
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-time national player Ozil.
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of his 92-time national player.
","Despite the now months-long debate over the photos of Özil with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-times international Özil.
","In spite of the debate going on for months about the photos of Özil with the Turkish President Recep Tayyip Erdogan, he regrets the return of the 92-match national player Özil.
",0.9733285267845753,0.631578947368421,-0.34174957941615425
13,"[[""self"", ""nsubj""], [""me"", ""obj""], [""pleasant"", ""root""], [""www.india.diplo.de"", ""nsubj""], [""Germany"", ""obl""]]
","""I would have been happy if Mesut Özil had continued playing for Germany.
","""I would have been happy if Mesut Özil had continued playing for Germany.
","""I would have been happy if Mesut Özil had continued to play for Germany.
","I would be happy if Mesut Özil continued to play for Germany.
",1.0,0.8432740427115678,-0.1567259572884322
14,"[[""self"", ""nsubj""], [""time"", ""obl""], [""the"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.biologie.uni-hamburg.de"", ""nsubj""]]
","I also assumed at some point that this would happen,"" said Grindel.
","I also assumed at some point that this would happen,"" said Grindel.
","I also assumed, up to a point, that this would be the case, ""Grindel said.
","At some point of time I also assumed that it will happen, said Grindel.
",1.0,0.8181818181818182,-0.18181818181818177
15,"[[""one-year-old"", ""nsubj""], [""July"", ""obl""], [""resignation"", ""obj""], [""declared"", ""root""], [""this"", ""obj""], [""one"", ""obj""], [""him"", ""obj""], [""www.biologie.uni-hamburg.de"", ""nsubj""], [""hostility"", ""obl""]]
","De 29-year-old had declared his resignation from the DFB team in July and also explained that Grindel had not defended him against racist hostility during the World Cup.
","De 29-year-old had declared his resignation from the DFB team in July and also explained that Grindel had not defended him against racist hostility during the World Cup.
","The 29-year-old had announced his resignation from the DFB team in July, justifying it on the grounds that Grindel had not defended him against racist hostility during the World Cup.
","The 29-year-old had declared that he quits DFB team in July and explained it with the fact that Grindel did not protect him against racist hostility during the World Cup.
",1.0,0.75,-0.25
16,"[[""head"", ""nsubj""], [""repeated"", ""root""], [""criticism"", ""obj""], [""of"", ""obj""], [""sb"", ""obj""], [""sth"", ""obj""], [""www.quintly.com"", ""obl""], [""this"", ""nsubj""], [""one"", ""nsubj""]]
","The DFB boss repeated his criticism of Özil that he was not ready to talk to coach Joachim Löw and team manager Oliver Bierhoff.
","The DFB boss repeated his criticism of Özil that he was not ready to talk to coach Joachim Löw and team manager Oliver Bierhoff.
","The head of the DFB repeated his criticism of Özil for not being willing to talk to national coach Joachim Löw and team manager Oliver Bierhoff.
","The DFB head repeated his criticism of Özil and that he is not ready for a discussion with national coach and team manager Oliver Bierhoff.
",1.0,0.7745966692414834,-0.2254033307585166
17,"[[""he"", ""nsubj""], [""pressur"", ""obj""], [""to"", ""root""], [""put"", ""root""], [""up"", ""root""], [""sth"", ""root""], [""he"", ""nsubj""], [""it"", ""obj""], [""football"", ""obl""], [""they"", ""nsubj""], [""team"", ""obj""], [""club"", ""obj""], [""they"", ""nsubj""], [""track"", ""obl""], [""-"", ""obl""], [""suit"", ""obl""], [""me"", ""nsubj""], [""it"", ""obj""], [""conversation"", ""nsubj""]]
","He didn't want to put up any pressure, but he knows it from football so that when ""you leave a team or change a club, you talk about it with your coach and I think it's a pity that this conversation has not come about.""
","He didn't want to put up any pressure, but he knows it from football so that when ""you leave a team or change a club, you talk about it with your coach and I think it's a pity that this conversation has not come about.""
","He said he didn't want to build pressure, but he knew from football that ""when you leave a team or change a club, you talk about it with your coach and I think it's a pity that that conversation hasn't come to fruition.""
","He did not want to create any pressure, but he knows that in football ‘if you leave a team or change club, you talk to your trainer and I think it is sad that this discussion did not happen before’.
",1.0,0.6370220572706061,-0.3629779427293939
18,"[[""Schrebergartensiedlung"", ""obl""], [""to"", ""root""], [""be"", ""root""], [""on"", ""root""], [""fire"", ""root""]]
","Linz: Garden hut in Schrebergartensiedlung burnt
","Linz: Garden hut in Schrebergartensiedlung burnt
","Linz: Garden Cottage in Allotment Gardening Settlement Burned
","Linz: Garden shed in allotment gardens burnt down
",1.0,0.6172133998483676,-0.38278660015163235
19,"[[""clock"", ""obl""], [""fire"", ""obl""], [""Angererhofweg"", ""obl""], [""to"", ""root""], [""call"", ""root""], [""sb"", ""root""], [""out"", ""root""]]
","At 2.13 p.
","At 2.13 p.m., the professional fire brigade Linz was alarmed at the Angererhofweg.
","At 2: 13 p.m., the Linz Fire Department was alerted to a fire in Angererhofweg.
","At 14.13 the Linz professional fire department was notified of a fire in Angererhofweg.
",0.45226701686664544,0.3333333333333333,-0.11893368353331213
20,"[[""high"", ""nsubj""], [""-voltage"", ""nsubj""], [""or"", ""nsubj""], [""high-tension"", ""nsubj""], [""transmission"", ""nsubj""], [""line"", ""nsubj""], [""Schrebergartensiedlung"", ""obl""], [""his"", ""root""], [""dang"", ""nsubj""], [""delay"", ""obl""]]
","Because a power line leads directly over the Schrebergartensiedlung, danger was delayed.
","Because a power line leads directly over the Schrebergartensiedlung, danger was delayed.
","Because a high-voltage line runs directly over the allotment, danger was in arrears.
","As a high-voltage power line directly traverses the allotment garden, danger was imminent.
",1.0,0.5477225575051661,-0.4522774424948339
21,"[[""professional"", ""nsubj""], [""fire"", ""nsubj""], [""brigade"", ""nsubj""], [""or"", ""nsubj""], [""department"", ""nsubj""], [""to"", ""root""], [""jerk"", ""root""], [""to"", ""obl""], [""arrive"", ""obl""], [""somewhere"", ""obl""], [""at"", ""obl""], [""sb"", ""obl""], [""'s"", ""obl""], [""hut"", ""obj""]]
","The fire brigade moved out and found the hut in full fire on arrival.
","The fire brigade moved out and found the hut in full fire.
","The professional fire brigade moved out and found the hut on arrival in full fire.
","The professional fire brigade drove out and on arrival found the hut fully in flames.
",0.9428090415820635,0.7035264706814485,-0.239282570900615
22,"[[""entirety"", ""obl""], [""distant"", ""root""], [""area"", ""obl""]]
","The roof had to be practically completely removed and fire debris removed to the necessary extent.
","The roof had to be practically completely removed and fire debris removed to the necessary extent.
","The roof had to be virtually completely removed and fire debris removed to the extent strictly necessary.
","The roof had to be almost completely removed and the huge amount of debris needed clearing.
",1.0,0.5720775535473553,-0.42792244645264466
23,"[[""owner"", ""obl""], [""he"", ""nsubj""], [""midday"", ""obl""], [""battery"", ""obj""], [""to"", ""root""], [""pin"", ""root""], [""sth"", ""root""], [""on"", ""root""], [""sb"", ""root""]]
","According to the owner of the burning garden hut, he had a battery to charge for lunch.
","According to the owner of the burning garden hut, he had a battery to charge for lunch.
","According to the owner of the burning garden shed, he had plugged a battery for charging at lunchtime.
","The owner of the burning garden hut stated that at noon he had connected a battery to the power supply for charging.
",1.0,0.5262348115842176,-0.4737651884157824
24,"[[""the"", ""nsubj""], [""cause"", ""root""], [""of"", ""root""], [""the"", ""root""], [""fire"", ""root""]]
","It could be the cause of fire.
","That might be the cause of fire.
","This could possibly be the cause of the fire.
","This was the possible cause of the fire.
",0.6,0.6,0.0
25,"[[""to"", ""root""], [""be"", ""root""], [""somewhere"", ""root""], [""battery"", ""nsubj""], [""charger"", ""nsubj""], [""fire"", ""obl""], [""brigade"", ""obl""], [""area"", ""obl""]]
","In any case, according to the fire department, the charger was in the range of the greatest fire intensity.
","In any case, according to the fire department, the charger was in the range of the greatest fire intensity.
","In any case, according to the fire brigade, the charger was in the area of greatest fire intensity.
","According to the fire department the loading unit was in the most intensive area of the fire.
",1.0,0.31980107453341566,-0.6801989254665843
26,"[[""the"", ""nsubj""], [""fire"", ""obl""], [""cause"", ""obl""], [""of"", ""obl""], [""the"", ""obl""], [""fire"", ""obl""], [""to"", ""root""], [""elicit"", ""root""], [""by"", ""root""], [""questioning"", ""root""]]
","The damage caused by the fire still has to be determined - just like the fire cause.
","The damage caused by the fire still has to be determined - just like the fire cause.
","The damage caused by the fire - as well as the cause of the fire - has yet to be determined.
","The damage caused by the fire, and the cause of the fire, still needs to be investigated.
",1.0,0.7,-0.30000000000000004
27,"[[""he"", ""nsubj""], [""considerable"", ""root""], [""owner"", ""nsubj""], [""www.toucanart.com"", ""obl""], [""collector"", ""obj""], [""'s"", ""obj""], [""item"", ""obj""]]
","It may be considerable, however, because the owner had many collectors' items in his garden hut.
","However, it should be considerable, for the owner had many collectors' items in his garden hut.
","However, it should be considerable, because the owner had many collectibles in his garden hut.
","The damage could be considerable as the owner stored many collectibles in his garden hut.
",0.8362420100070908,0.5017452060042544,-0.3344968040028363
28,"[[""moth"", ""nsubj""], [""to"", ""root""], [""defend"", ""root""], [""oneself"", ""root""], [""against"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""www.xxllashes.de"", ""nsubj""], [""www.filmmacher.at"", ""obj""]]
","Angry mother defends herself: Lindsay Lohan attacks refugee family on open street
","Angry mother resists: Lindsay Lohan attacks refugee family on open street
","Angry mother fights back: Lindsay Lohan attacks refugee family in the street
","Angry mother defends herself: Lindsay Lohan attacks refugee family on the street
",0.9090909090909091,0.9534625892455924,0.04437168015468329
29,"[[""what"", ""obj""], [""www.xxllashes.de"", ""nsubj""], [""act"", ""obl""], [""transmission"", ""root""]]
","What drove Lindsay Lohan to this strange action?
","What drove Lindsay Lohan to this strange action?
","What on earth has driven Lindsay Lohan to this most bizarre of actions?
","What provoked Lindsay Lohan to such very strange actions?
",1.0,0.7142857142857143,-0.2857142857142857
30,"[[""you"", ""nsubj""], [""child"", ""obj""], [""and"", ""obj""], [""youth"", ""obj""], [""welfar"", ""obj""], [""Service"", ""obj""], [""to"", ""root""], [""snatch"", ""root""], [""sth"", ""root""], [""away"", ""root""], [""from"", ""root""], [""sb"", ""root""]]
","She apparently wanted to snatch the children from an alleged refugee family.
","She apparently wanted to take the children from an alleged refugee family.
","She apparently wanted to snatch the children from an alleged refugee family.
","She apparently wanted to lure the children away from the alleged refugee family.
",0.8888888888888888,0.8432740427115678,-0.04561484617732103
31,"[[""www.xxllashes.de"", ""nsubj""], [""www.sycube.at"", ""root""], [""she"", ""nsubj""], [""child"", ""obj""], [""and"", ""obj""], [""youth"", ""obj""], [""welfar"", ""obj""], [""Service"", ""obj""]]
","Lindsay Lohan (b.
","Lindsay Lohan (32, ""Herbie: Fully Loaded"") has streamed live herself, as she apparently wants to kidnap a family in Moscow.
","Lindsay Lohan, 32, of ""Herbie: Fully Loaded,"" live-streamed herself apparently trying to snatch the children from a family in Moscow.
","Lindsay Lohan (32, ‘Herbie: Fully Loaded’) has live streamed how she openly wanted to tear children away from a family in Moscow.
",0.4,0.38138503569823695,-0.01861496430176307
32,"[[""the"", ""nsubj""], [""to"", ""root""], [""tell"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""American"", ""obj""], [""Recording"", ""obj""]]
","This is reported by the U.
","This is reported by the US portal ""TMZ"" and releases a partial recording of the stream.
","This is reported by the US portal ""TMZ"" and publishes a partial recording of the stream.
","This was reported by US portal ""TMZ"" with publication of a partial recording of the stream.
",0.43301270189221935,0.43301270189221935,0.0
33,"[[""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""you"", ""nsubj""], [""luck"", ""obl""], [""no"", ""obl""], [""www.xxllashes.de"", ""obl""]]
","Here you see ""Luckily kissed"" with Lindsay Lohan
","Here you see ""Luckily kissed"" with Lindsay Lohan
","See ""Luckily Kissed"" with Lindsay Lohan
","Here you can see the ""Just My Luck"" with Lindsay Lohan
",1.0,0.7071067811865476,-0.2928932188134524
34,"[[""clip"", ""obl""], [""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""www.staatsoper-berlin.de"", ""nsubj""], [""car"", ""obl""], [""family"", ""obl""], [""the"", ""obj""], [""she"", ""nsubj""], [""www.filmmacher.at"", ""obl""]]
","The clip shows how Lohan gets out of a car and goes to a possibly homeless family she wants as a refugee family from Syria.
","The clip shows how Lohan gets out of a car and goes to a possibly homeless family she wants as a refugee family from Syria.
","In the clip, Lohan can be seen getting out of a car and walking to a possibly homeless family who claim to have identified her as a refugee family from Syria.
","In the clip you can see how Lohan gets out of a car and goes up to a possibly homeless family, identified as a refugee family from Syria.
",1.0,0.7590721152765897,-0.2409278847234103
35,"[[""family"", ""nsubj""], [""actressen"", ""obl""], [""to"", ""root""], [""follow"", ""root""], [""sb"", ""root""], [""www.staatsoper-berlin.de"", ""nsubj""], [""parents"", ""obj""]]
","When the family flees the actress, Lohan follows her parents and children.
","When the family flees the actress, Lohan follows her parents and children.
","As the family flees the actress, Lohan pursues the parents and their children.
","As the family flee in front of the actress, Lohan follows the parents and their children.
",1.0,0.7627700713964739,-0.2372299286035261
36,"[[""you"", ""nsubj""], [""to"", ""root""], [""accuse"", ""root""], [""sb"", ""root""], [""of"", ""root""], [""sth"", ""root""], [""adult"", ""obj""], [""www.giz.de"", ""obj""]]
","She accuses adults of child trafficking.
","She accuses adults of child trafficking.
","It accuses the adults of trafficking children.
","She accuses the adults of child trafficking.
",1.0,1.0,0.0
37,"[[""the"", ""obl""], [""to"", ""root""], [""deliver"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""she"", ""nsubj""], [""clip"", ""obl""], [""to"", ""obj""], [""prove"", ""obj""], [""sth"", ""obj""], [""to"", ""obj""], [""sb"", ""obj""]]
","To all of this, she's not providing any evidence in the clip.
","She doesn't provide any evidence for all this in the clip.
","She provides no evidence for any of this in the clip.
","Yet she does not offer any proof in the clip.
",0.4629100498862757,0.3380617018914066,-0.1248483479948691
38,"[[""the"", ""nsubj""], [""our"", ""nsubj""], [""world"", ""nsubj""], [""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""the"", ""obj""], [""video"", ""obl""], [""she"", ""nsubj""], [""family"", ""obj""], [""road"", ""obj""]]
","""The whole world sees it right now,"" Lohan says in the video, following the family along the street.
","""The whole world is seeing it right now,"" Lohan says in the video, following the family along the street.
","""The whole world is watching,"" Lohan can be heard saying in the video as she continues to follow the family down the street.
","The whole world is watching, says Lohan in the video as she follows the family further down the street.
",0.9375,0.7216878364870323,-0.21581216351296773
39,"[[""to"", ""root""], [""try"", ""root""], [""or"", ""root""], [""attempt"", ""root""], [""sth"", ""root""], [""she"", ""nsubj""], [""child"", ""obj""], [""and"", ""obj""], [""youth"", ""obj""], [""welfar"", ""obj""], [""Service"", ""obj""], [""parents"", ""obl""]]
","Apparently, she tries to separate the children from her parents.
","Apparently, she tries to separate the children from her parents.
","Apparently she is trying to separate the children from their parents.
","She seems to try to separate the children from their parents.
",1.0,0.5714285714285714,-0.4285714285714286
40,"[[""seemingly"", ""root""], [""it"", ""nsubj""]]
","Eventually, however, the obviously angry mother seems enough.
","Eventually, however, the obviously angry mother seems enough.
","At one point, however, the obviously furious mother appears to have had enough.
","At some point, however, it seems that the obviously angry mother had it enough.
",1.0,0.8432740427115678,-0.1567259572884322
41,"[[""flat"", ""nsubj""], [""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""she"", ""nsubj""], [""oneself"", ""obj""], [""www.staatsoper-berlin.de"", ""nsubj""], [""slap"", ""obj""], [""on"", ""obj""], [""or"", ""obj""], [""round"", ""obj""], [""the"", ""obj""], [""face"", ""obj""]]
","Looks like she's turning around and slapping Lohan.
","Looks like she's turning around and slapping Lohan.
","It looks like she's turning around and giving Lohan a slap in the face.
","It looks as if they turn around and Lohan gets a slap in the face.
",1.0,0.3535533905932738,-0.6464466094067263
42,"[[""to"", ""obl""], [""Kater"", ""obl""], [""to"", ""root""], [""protest"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""that"", ""root""], [""actressen"", ""nsubj""], [""she"", ""nsubj""], [""she"", ""nsubj""], [""oneself"", ""obj""], [""cheek"", ""obj""]]
","In tears, the actress asserts how shocked she is - and she keeps her cheek.
","In tears, the actress asserts how shocked she is - and she keeps her cheek.
","The actress then tearfully admits how shocked she is - and holds her cheek.
","In tears, the actress protests about how shocked she is - holding her cheek.
",1.0,0.8,-0.19999999999999996
43,"[[""what"", ""nsubj""], [""www.staatsoper-berlin.de"", ""nsubj""], [""act"", ""obl""], [""unclear"", ""root""]]
","What prompted Lohan to do so is currently completely unclear.
","What prompted Lohan to do so is currently completely unclear.
","What prompted Lohan to take this action is currently unclear.
","What provoked Lindsay Lohan to such very strange actions is currently completely unclear.
",1.0,0.7171371656006361,-0.2828628343993639
44,"[[""landingen"", ""root""], [""job"", ""nsubj""], [""www.ibis.com"", ""obj""], [""asteroid"", ""obl""]]
","Landing on Ryugu: This task has ""Mascot"" on the asteroid
","Landing on Ryugu: This task has ""Mascot"" on the asteroid
","Landing on Ryugu: This task has ""Mascot"" on the asteroid
","Landing on Ryugu: These are ""Mascot's"" tasks on the asteroid
",1.0,0.7378647873726218,-0.26213521262737816
45,"[[""tube"", ""nsubj""], [""attempt"", ""root""], [""December"", ""obl""], [""Japan"", ""obl""]]
","The ""Hayabusa2"" probe was launched in Japan in December 2014.
","The ""Hayabusa2"" probe was launched in Japan in December 2014.
","The ""Hayabusa2"" probe was launched in Japan in December 2014.
","The “Hayabusa2” probe launched in December 2014 in Japan.
",1.0,0.8,-0.19999999999999996
46,"[[""you"", ""nsubj""], [""oneself"", ""obj""], [""to"", ""root""], [""get"", ""root""], [""or"", ""root""], [""draw"", ""root""], [""closer"", ""root""], [""or"", ""root""], [""near"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""she"", ""nsubj""], [""substance"", ""obj""], [""surface"", ""obl""], [""earth"", ""obl""]]
","It is said to approach the asteroid Ryugu so much that it can absorb material from its surface and bring it to Earth.
","It is said to approach the asteroid Ryugu so much that it can absorb material from its surface and bring it to Earth.
","It is designed to approach the Ryugu asteroid so close that it can suck material from its surface and bring it to Earth.
","It should get so close to the asteroid Ryugu that it can suck in material from its surface and bring it back to Earth.
",1.0,0.6666666666666666,-0.33333333333333337
47,"[[""ACP"", ""nsubj""], [""countries"", ""nsubj""], [""Ryugu"", ""obl""], [""to"", ""root""], [""stay"", ""root""]]
","The lander Mascot will stay on Ryugu.
","The lander Mascot will stay on Ryugu.
","The ""Mascot"" lander will remain on Ryugu.
","The lander “Mascot” will remain on Ryugu.
",1.0,0.7216878364870323,-0.2783121635129677
48,"[[""number"", ""nsubj""], [""to"", ""root""], [""climb"", ""root""]]
","Foreign ticker: Number of deaths on Sulawesi increases to more than 400
","Foreign ticker: Number of deaths on Sulawesi increases to more than 400
","Foreign Ticker: Sulawesi death toll rises to more than 400
","International news ticker: Number of dead in Sulawesi rises to more than 400
",1.0,0.5892556509887896,-0.4107443490112104
49,"[[""earthquake"", ""obl""], [""his"", ""root""], [""casualty"", ""obl""], [""speech"", ""nsubj""]]
","After the severe earthquake of 7.5 and subsequent tsunami on the Indonesian island of Sulawesi, at least 420 people died.
","After the severe earthquake of 7.5 and subsequent tsunami on the Indonesian island of Sulawesi, at least 420 people died.
","At least 420 people have been reported dead after a powerful 7.5-magnitude earthquake and subsequent tsunami on the Indonesian island of Sulawesi.
","After the severe magnitude 7.5 earthquake and subsequent tsunami on the Indonesian island of Sulawesi, there are reports of at least 420 casualties.
",1.0,0.8391463916782737,-0.16085360832172635
50,"[[""europa.eu"", ""nsubj""], [""to"", ""root""], [""climb"", ""root""]]
","The number of victims could increase even further.
","The number of victims could increase even further.
","The death toll could rise even further.
","Reportedly, the number of victims could rise even further.
",1.0,0.6681531047810609,-0.33184689521893906
51,"[[""rescue"", ""nsubj""], [""party"", ""nsubj""], [""to"", ""root""], [""reach"", ""root""], [""or"", ""root""], [""get"", ""root""], [""as"", ""root""], [""far"", ""root""], [""as"", ""root""], [""somewhere"", ""root""]]
","The rescue teams have not yet entered the devastated areas cut off from the outside world.
","The rescue teams have not yet entered the devastated areas cut off from the outside world.
","Rescue teams have not yet penetrated the devastated areas, which are cut off from the outside world.
","The rescue teams have not yet progressed into the ravaged and isolated areas.
",1.0,0.6030226891555273,-0.39697731084447274
52,"[[""www.drupa.de"", ""nsubj""], [""to"", ""root""], [""st"", ""root""], [""somewhere"", ""root""], [""aktuell.ruhr"", ""obl""], [""-uni"", ""obl""], [""-bochum"", ""obl""], ["".de"", ""obl""]]
","Elon Musk resigns as Tesla Supervisor
","Elon Musk resigns as Tesla Supervisor
","Elon Musk resigns as Tesla chief executive
","Elon Musk resigns as Tesla chairman
",1.0,0.8,-0.19999999999999996
53,"[[""beginning"", ""obl""], [""his"", ""root""], [""auf"", ""nsubj""], [""Facebook"", ""nsubj""], [""ein"", ""nsubj""], [""faven"", ""nsubj""]]
","In the beginning was a tweet.
","In the beginning was a tweet.
","In the beginning was a tweet.
","In the beginning, there was a tweet.
",1.0,0.8944271909999159,-0.10557280900008414
